text,spam
willow and pathstar evaluations i will check with michael and see if it s feasible to do a quick evaluation of his software here in houston stinson vince j kaminski pm to stinson gibner hou ect ect cc willow and pathstar evaluations stinson he keeps bugging us about it any thoughts what we should do vince forwarded by vince j kaminski hou ect on pm mike curran on am please respond to mike curran to cc willow and pathstar evaluations hi vince hope all is well with you sharad hasn t had time to evaluate our willow tree or monte carlo software since the middle of last year is there somebody else that could do it please let me know who i should send the evaluation to best regards michael curran ceo quantin leap limited piercy house copthall avenue london ec r nj tel fax mailto mcurran quantinleap com www quantinleap com,0
benchmarking questionnaires vince attached are two sets of benchmarking questionnaires for your kind perusal regards khairuddin see attached file q bench rms doc see attached file feb doc disclaimer this e mail and any files transmitted with it message is intended only for the use of the recipient s named above and may contain confidential information you are hereby notified that the taking of any action in reliance upon or any review retransmission dissemination distribution printing or copying of this message or any part thereof by anyone other than the intended recipient s is strictly prohibited if you have received this message in error you should delete this message immediately and advise the sender by return e mail opinions conclusions and other information in this message that do not relate to the official business of petronas or its group of companies shall be understood as neither given nor endorsed by petronas or any of the companies within the group embedded image moved to file pic pcx q bench rms doc feb doc pic pcx,0
aggressive investors should be watching sports alumni inc investor alert if a group of investors would have the opportunity to have invest in the nba nfl nbl nhl and mls when the leagues started how rich would they be today today we will be introducing a new football alumni association that will bring ex high school college and professional athletes around the united states to relive their glory days as savvy investor prepare to buy this stock it has become clear that this could be one of the most explosive opportunities of the year you still have the opportunity to buy this stock for pennies to the dollar but for how long here at wall street research we do not get excited about many stocks that s because its getting harder and harder to find stocks that have potential to make investors rich very quickly blue chips can t and ipo s rarely pay off small investors history shows that the only consistent way for small investors to see their money double triple or more on the short run is to be smart enough to find small caps with huge potential and buy before they take off the kind of stocks that gets us excited company in review pink sheets symbol spni www com recent price target price aggressive investors should be watching sports alumni inc spni it is making big moves and growing fast when the nba nfl nbl nhl and mls talk about lockouts half seasons or no season salary caps and even the referees join the turmoil every year one of these leagues threatens the passion for sports will they play again this season sports alumni inc is about bringing the passion of the former game to all ex high school college and professional athletes not about how big of a salary they will be making the next couple of years sports alumni inc sports alumni inc maybe you started playing football when you where years old and never quite lost the love of the game perhaps you even played college ball what ever level you played its a good bet that your passion for the game did not end when the whistle blew and the last play ended that is what american football alumni seeks to bring back to the multi million member target market of former and current players and coaches recent surveys reveal that percent of former football players would be interested in joining a national alumni association whose makeup is former high school and college players seventy nine percent are interested in reunions with former teammates and percent said they d be interested in purchasing their old school football jerseys especially if their names were included the afa will bring old teams together through its subscriber network while offering on line stores of customized merchandise a first class magazine conventions football travel packages national and local polls this is an un tapped industry within a multi billion dollar marketplace companys recent news sports alumni inc spni pk announced today the official launch of their first sports alumni micro site www com this site is the preliminary sign up point for their first of many sports alumni sites the company plans to launch this year the main member site launch is expected early july with a million media blitz to follow this fall we are very pleased to have ai software solutions as our software development and web hosting partner as they are clearly one of the top companies in this industry and can fully support our expected rapid growth they have integrated seamlessly with our organization and made development a snap stated sports alumnis president matthew totty sports alumni will also be marketing football fest this fall a grand event planned in las vegas june where they expect attendance of over former players and coaches we have everything imaginable planned for this event and were really excited for this to be the football event in the country to attend each year its a chance for our members to rub elbows with footballs greats and just have a good time if you lived it youre one of us states mr totty smart investors know its easier to take a stock to than to take a stock to but the word is getting out chances like this are few and far between and the buzz on the street is that spni is a buy who knows when youll have another chance to turn such a huge profit again smart investors strike when the irons hot and with spni its sizzling for more information on this company simply click here forward looking statements contained in this newsletter are made under the safe harbor provision of the private securities litigation reform act of any such statements are subject to risks and uncertainties that could cause actual results of events to differ materially from those anticipated in such forward looking statements wall street research quick business solutions llc wsr qbs has received three hundred thousand shares from a group of investors wsr qbs for the production and distribution of this newsletter wsr qbs may own a non controlling share of spni and reserves the right to sell their shares at any time without prior notice this profile is not an offer to buy or sell any securities mentioned herein while the publisher believes all sources of information to be factual and reliable in no way does it represent or guarantee the accuracy thereof nor the statements made herein and have made no independent verification of the facts assumptions and estimates contained in this newsletter the user assumes all risk as to the accuracy and the use of this document always consult a professional investment advisor before making any purchase for further details concerning risks and uncertainties please request additional information directly from the company featured above or the sec filings of the company including the companys most recent annual and quarterly reports qbs sonoita mission viejo ca this e mail message is an advertisement and or solicitation,1
london status report research weather effort vince fyi to give you background for tomorrow s telephone conference steve is really a home run hitter mike forwarded by mike a roberts hou ect on am enron north america corp from stephen bennett enron am to mike a roberts hou ect ect cc london status report hi mike before we meet with vince tomorrow i thought we should drop you a line and give you an idea as to what s been accomplished in the first week as well as some of the challenges and problems we ve run into this way we can make the most effective use of vince s time current products and customers in our first days we established different customer groups representing approximately traders plus additional fundamentals and analytics folks the groups a uk trading gas fundamentals crude trading weather derivatives continental power and an internal trader newsletter we ve built the following framework to address these customers the key deadlines are noted uk trading weather derivatives fundamentals prepare a to day uk specific forecast and assess the z runs of the ecmwf and ensembles the avn as well as earthsat s day outlook the traders are particularly interested in the performance of the ecmwf as it feeds all of their demand models we prepare a page summary and give an idea as to any particular forecast biases whether we feel things may come in warmer or colder than the model we brief the traders and field questions then provide our report to the fundamentals group in the future we would like to be able to gather raw data from the avn and mrf to provide a series of choices which could be input into their demand models or at least be able to give them our best pick of guidance and how we feel things may deviate from that pick am obtain the uk met and day forecasts provide comment for uk trading uk trading crude and products weather derivatives prepare a full qualitative analysis of oz models mrf nogaps canadian ensembles produce a to day europe forecast and make any needed adjustments to the to day forecast produce the global weather report including a global executive summary analysis of teleconnections and their expected impact to and to day forecasts compared to earthsat a day city forecast table for european cities along with the expected effect on heating demand and finally a port status report describing weather and port conditions in worldwide ports update traders uk and wx deriv on changes or new trends in the oz models provide a quality assessment of the uk met to and to day forecast for uk trading mon wed brief the crude and products groups in london and houston review z avn for any major forecast changes and communicate changes to traders weekly produce a weather article for critical mass internal trading newsletter of course between and we are looking closely at the us weather for support to you guys in houston i m still writing the daily us executive summary as well as producing a to day us forecast requested projects gas fundamentals has asked us to provide weather information for their morning report and website they would like to be able to gather objective output from as many forecast models as we can get weather derivatives has asked for week ahead month ahead and seasonal outlooks for temperature and precipitation they have also asked about creating a tradeable nao index and developing an in house model for forecasting nao continental power has asked for temperature and precipitation outlooks for power generation and hydro gas fundamentals uk trading continental power weather derivatives and crude and products have all asked for a european summer outlook for temperature and precipitation we expect to have this completed tomorrow the research group has asked for assistance in gathering climate data across spain for temperature and precipitation leads to follow up on elsa in houston asked us to contact some of the softs traders here and let them know once we were up and running contact chris mahoney to determine if we can provide and additional support for crude and products follow up on a potential morning breifing for continental power challenges we ve been told that we will be moving locations next week which might entail corrupting or loosing the software and hardware configurations that have taken almost a week to get fully established it seems that this office functions on a hot desk system where people are constantly moving around this will make it very difficult to stay connected as well as very difficult for our customers to identify us administrative detail take an inordinate amount of time assembling reports both physical and electronic can take nearly as long as actually preparing the reports mike ok i think that brings you up to speed i ve been amazed at the amount of feedback we ve already gotten and we ve only been here days on that note i wanted to let you know that i am fully committed to this project it seems that we will not have a second meteorologist to assist tony by my planned departure date on the th as such i can continue in my current role through my planned vacation keeping me in london until the th which is my current reservation back to houston i am also open to remaining in london beyond the th to ensure the success of this project hopefully this gives you a good idea as to what s gone on in the first few days here we look forward to talking to you later today and with you and vince tomorrow,0
presentation to dave delainey good morning vince s direct reports will give a presentation to dave delainey monday april th at pm in conference room eb this presentation will be an update of the one that was given to greg whalley if you have any questions please call me thanks shirley,0
summer internship martin please refer john directly to jinbaek kim and his academic advisor vince from martin lin on pm to vince j kaminski hou ect ect cc summer internship as a followup john gillespie has expressed interest in participating on the panel mentioned below to whom should i refer john or should somebody contact him i just wanted to know what to tell john thanks martin vince j kaminski pm to martin lin hou ect ect cc vince j kaminski hou ect ect summer internship martin thanks vince from martin lin on pm to vince j kaminski hou ect ect cc summer internship i did not find anybody in ebs who seems to know or be involved in any e procurement issues in enron corp however there is an initiative called ibuyit this is a system that corp is deploying for e procurement through corp and ena and will get to ebs sometime late this year john gillespie is in charge of the ibuyit initiative perhaps he is the appropriate contact i left a voice mail with him but have not yet received a response martin vince j kaminski am to martin lin hou ect ect cc summer internship martin please take a look at question who is the right person at ebs vince forwarded by vince j kaminski hou ect on am jinbaek kim on am to vince j kaminski enron com cc summer internship dr kaminski sorry for the late response it took me some time to coordinate things finally it s almost dont it turned out that from june to august will be best for me for work at enron say june to august but i still need to know several things from your side could you answer following questions first is my suggested working period is ok with you if so let me know what to do for settlement during the period second i got a list of work i might be able to do for dealbench team from ross and suresh i d like to know it is still a valid work list the list he sent is as following write a paper in layman s terms that answers questions like the following benefits of auctioning online for both buyers and sellers particularly in reverse auctions explanation how multi variable auctions are not as efficient as price only auctions is this true how many participants are recommended for a successful live auction what types of goods and services are best suited for live auctions versus sealed bid quotes opinions on lotting strategies trends in online private auctions identify appropriate recent auction research or papers out of the you provided and obtain approvals from the authors to post on our site create a list bibiliography of relevant auction literature with hyperlinks would you be willing to offer auction consulting services to our customers if they are interested third there is an e procurement forum at haas school of business in may the chair of the forum is my advisor prof arie segev a person from wells fargo bank will talk about wells fargo s role in e marketplace payment initiative where enron broadband services is also one of key players along with citibank he asked me whether you can contact a person at enron broadband services who s related to the initiative he wants to know whether we will have a speaker from enron to see enron s perspective in the forum here is a link to news related to the initiative fourth my advisor wants to know whether there could be any opportunity to do a case study regarding enron s business he is interested in e procurement and e marketplaces business model and system architecture thanks for reading this long email i ll look forward to your answer i am sorry for giving you so much burden to answer those questions possibly not easy to answer warm regards jinbaek jinbaek kim ph d candidate dept of industrial engineering and operations research u c berkeley www ieor berkeley edu jinbaek go bears a a on mon mar vince j kaminski enron com wrote jinbaek this is fine though you are welcome to spend more time with us this summer vince jinbaek kim on pm to vince j kaminski enron com cc summer internship dr kaminski thanks for your answer before i tell you the time frame i ll need to talk with my advisor first because here is an on going project i need to coordinate the schedule i ll appreciate it if you understand my situation and give me some time less than a week of course for your reference probably the dates i d like to ask you will be from mid may to mid july months warm regards jinbaek jinbaek kim ph d candidate dept of industrial engineering and operations research u c berkeley www ieor berkeley edu jinbaek go bears a a on fri mar vince j kaminski enron com wrote jinbaek you can coordinate the details with me let me know what the time frame is for you and we shall send you an appropriate offer vince jinbaek kim on pm to vince j kaminski enron com cc summer internship dr kaminski thank you very much of course i ll be happy to have an opportunity to work at such a wonderful company i was contacting with surech raghavan at deal bench team and was going to express my appreciation to you again after settling down process with them for the period of working i still need to coordinate with my advisor and may need to adjust according to that but anyway i ll try to coordinate smoothly please let me know whether i should keep contacting with deal bench team for working period and for misc living support such as finding a place rent a car etc i appreciate you so much again for arranging such meetings and giving me an opportunity all this opportunity will not be available to me without your kind help warm regards jinbaek jinbaek kim ph d candidate dept of industrial engineering and operations research u c berkeley www ieor berkeley edu jinbaek go bears a a on fri mar vince j kaminski enron com wrote hello sorry for a delay in getting back to you we would like very much to offer you a summer internship please let me know if you are interested vince kaminski,0
new love tabs shop visit our llcensed online dragstore for the best inexpensive love drags viagra ciaiis softtabs and many other love enhancers aii in one operative support fast shipping secure payment processing and complete confidentiaiity ciick here to find your verlfied by bbb and approved by visa love pil,1
professional logo for you now working on your company s image start with a visual identity a key to the first good impression we are here to help you we ll take part in buildinq a positive visual imaqe of your company by creatinq an outstandinq iogo presentabie stationery items and professionai website these marketing tools wili siqnificantiy contributeto success of your business take a iook at our work samples hot deai packages and see what we have to offer we work for you not interested,1
st annual energy symposium november houston texas dear vince thank you for taking the time to dine with chris and me back on monday october further to our dinner i would like to forward you information on three topics the partners who lead arthur andersen s relationship with enron are david duncan based in houston and simon prew based in london our country managing partner for russia and details of our st energy symposium are attached below if you are interested in registering for our symposium please contact david directly should you require any further information on the topics we discussed over dinner strategy value and risk please do not hesitate to contact us in houston or london regards allan embedded image moved to file pic pcx the energy symposium is one of the largest energy conferences in the world and we are successful in attracting senior energy executives as speakers to this day event this year s event will be november the energy symposium is much more that just an accounting conference industry leaders discuss a range of topics and share their perspectives on strategic economic political financial and operating issues participants find the networking aspect of the symposium to be especially valuable there is ample time during the event for them to meet and talk with their counterparts and colleagues in the industry and it is a premier marketing opportunity for arthur andersen where more than partners and managers get to spend two days with executives from the energy and utilities industry in a forum the symposium check in begins monday november at p m with a cocktail reception in the galleria ballroom foyer arthur andersen personnel are encouraged to attend for an opportunity to network with colleagues clients and prospective clients in an informal setting thank you in advance and i look forward to seeing you and your clients in houston victor a burk monday november p m opening reception tuesday november a m registration a m symposium wide opening and welcome a m opening plenary session global power companies strategies for success a m break a m concurrent session i i a the changing face of utilities u s restructuring continues i b bandwidth markets opportunities pitfalls noon lunch and keynote presentation p m concurrent session ii ii a retail energy services the new game ii b mergers acquisitions more to come ii c new business models and technologies changing the supply chain p m break p m concurrent session iii iii a opportunities and risks in the emerging global emissions trading market iii b oil field services the new landscape iii c accounting and reporting outlook p m reception wednesday november a m registration a m breakfast roundtable discussions rt asia pacific region rt caspian region rt bandwidth markets rt customer relationship management rt digital markets rt value creation in the e p industry a m break a m concurrent session iv iv a trading and marketing new products and new players iv b creating value in the e p industry a m lunch and keynote presentation p m supply chain optimization workshop p m symposium adjourns the printed program and registration materials will be mailed to more than people on our us oil and gas and utility mailing lists on october a copy of the materials is attached below in addition you can always refer to our website www energysymposium com for any updates to the agenda see attached file es pdf headquarters octel network fax lotus notes energy symposium hq or energy symposium arthurandersen com symposium in charge melissa l spradley octel network fax symposium contact mickey r appel octel network fax internet email confidentiality footer the uk firm of arthur andersen is authorised by the institute of chartered accountants in england and wales to carry on investment business a list of partners is available at surrey street london wc r ps principal place of business privileged confidential information may be contained in this message if you are not the addressee indicated in this message or responsible for delivery of the message to such person you may not copy or deliver this message to anyone in such case you should destroy this message and kindly notify the sender by reply email please advise immediately if you or your employer do not consent to internet email for messages of this kind opinions conclusions and other information in this message that do not relate to the official business of my firm shall be understood as neither given nor endorsed by it pic pcx es pdf,0
long term volatility curves grant can research in houston put together a comparison of the long term volatility curves for gas and power in north america and europe based on where europe is marked especially for the uk i think we ll find a significant difference out beyond years fundamentally it seems like the long term vol should be similar for a given commodity regardless of geographic location has research done any work on this in the past if not we should study this since long term vol feeds into the var based position limits give me a call so we can discuss thanks dale,0
